Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.98272387557623 40.75095894463464,-73.98227490396656 40.75157729789347",5 AVENUE,EAST   38 STREET,EAST   39 STREET,257.35
"-73.98227490396656 40.75157729789347,-73.98182244341947 40.7521971274284",5 AVENUE,EAST   39 STREET,EAST   40 STREET,258.29
"-73.98182244341947 40.7521971274284,-73.9813715040641 40.75281385223566",5 AVENUE,EAST   40 STREET,EAST   41 STREET,257.09
"-73.98088709868159 40.7534809889813,-73.98094066426056 40.75340720773105,-73.9813715040641 40.75281385223566",5 AVENUE,EAST   41 STREET,EAST   42 STREET,277.65
"-73.97674467649142 40.75916473813556,-73.97628870143396 40.759786748996746",5 AVENUE,EAST   51 STREET,EAST   52 STREET,259.45
"-73.97628870143396 40.759786748996746,-73.97583011953861 40.76041851982214",5 AVENUE,EAST   52 STREET,EAST   53 STREET,262.91
"-73.97583011953861 40.76041851982214,-73.97537360649422 40.76103990639012",5 AVENUE,EAST   53 STREET,EAST   54 STREET,259.32
"-73.97537360649422 40.76103990639012,-73.97491476261246 40.76166726993638",5 AVENUE,EAST   54 STREET,EAST   55 STREET,261.54
"-73.97491476261246 40.76166726993638,-73.97445730581376 40.76229308303918",5 AVENUE,EAST   55 STREET,EAST   56 STREET,260.86
"-73.97445730581376 40.76229308303918,-73.97396798923295 40.762966586788586",5 AVENUE,EAST   56 STREET,EAST   57 STREET,280.33
"-73.97346523415527 40.76365910394984,-73.97374696698357 40.76327103495612,-73.97396798923295 40.762966586788586",5 AVENUE,EAST   57 STREET,EAST   58 STREET,288.19
"-73.97209852378327 40.76551725042732,-73.97164774285723 40.766142468319615",5 AVENUE,EAST   61 STREET,EAST   62 STREET,259.77
"-73.97209852378327 40.76551725042732,-73.97164774285723 40.766142468319615",5 AVENUE,EAST   61 STREET,EAST   62 STREET,259.77
"-73.97164774285723 40.766142468319615,-73.97118521016884 40.76677028931279",5 AVENUE,EAST   62 STREET,EAST   63 STREET,262.18
"-73.97164774285723 40.766142468319615,-73.97118521016884 40.76677028931279",5 AVENUE,EAST   62 STREET,EAST   63 STREET,262.18
"-73.97118521016884 40.76677028931279,-73.97072777432889 40.767393722433624",5 AVENUE,EAST   63 STREET,EAST   64 STREET,260.09
"-73.97118521016884 40.76677028931279,-73.97072777432889 40.767393722433624",5 AVENUE,EAST   63 STREET,EAST   64 STREET,260.09
"-73.97072777432889 40.767393722433624,-73.97028165543682 40.76802503240718",5 AVENUE,EAST   64 STREET,EAST   65 STREET,261.10
